Latitude; Longitude ;Altitude
-23.293217804994963;-47.25944186319328;643.4641723632812
-23.28323993245185;-47.25443448801904;600.9156494140625
-23.273343677405503;-47.249239070057456;565.8667602539062
-23.263532035529305;-47.243857223384765;608.4388427734375
-23.253807976238388;-47.23829061740729;637.2186279296875
-23.24417444180888;-47.23254097631853;685.0148315429688
-23.23463434650577;-47.22661007854159;628.3903198242188
-23.22519057571992;-47.220499756156734;595.1530151367188
-23.215845985114218;-47.21421189431469;676.0592651367188
-23.206603399779294;-47.20774843063558;669.335205078125
-23.19746561339888;-47.20111135459391;669.6621704101562
-23.188435387425105;-47.19430270688967;642.3837890625
-23.179515450263978;-47.18732457880583;653.6785888671875
-23.17070849647118;-47.18017911155253;677.2725830078125
-23.16201718595845;-47.17286849559802;643.3623046875
-23.153444143210788;-47.165394969986615;634.360595703125
-23.14499195651456;-47.157760821644;681.1859130859375
-23.13666317719691;-47.14996838466998;683.6373291015625
-23.12846031887648;-47.142020039618906;649.1152954101562
-23.12038585672575;-47.1339182127681;633.61669921875
-23.11244222674516;-47.12566537537438;607.1555786132812
-23.10463182504917;-47.11726404291898;659.7685546875
-23.096957007164523;-47.10871677434113;686.7557983398438
-23.08942008734078;-47.1000261712604;726.5896606445312
-23.082023337873448;-47.09119487718821;764.6466674804688
-23.07476898843969;-47.08222557672851;698.2039184570312
-23.06765922544698;-47.07312099476817;741.3143920898438
-23.06069619139474;-47.06388389565699;698.9605102539062
-23.05388198424917;-47.05451708237779;647.084228515625
-23.047218656831408;-47.0450233957067;641.1507568359375
-23.040708216219222;-47.03540571336397;676.3206176757812
-23.03435262316233;-47.02566694915542;690.6497192382812
-23.028153791511507;-47.01581005210495;719.9727172851562
-23.02211358766167;-47.00583800557809;743.0847778320312
-23.01623383000904;-46.99575382639711;709.1730346679688
-23.010516288422483;-46.98556056394769;700.4573974609375
-23.00496268372927;-46.97526129927759;729.0345458984375
-22.99957468721526;-46.96485914418737;824.859619140625
-22.994353920139737;-46.95435724031358;866.6290893554688
-22.98930195326493;-46.94375875820448;924.2877197265625
-22.98442030640044;-46.93306689638873;907.2581176757812
-22.979710447962542;-46.92228488043718;924.0249633789062
-22.97517379454867;-46.9114159620179;844.7769775390625
-22.97081171052693;-46.900463417944906;780.3490600585938
-22.966625507641044;-46.88943054922078;762.0458374023438
-22.962616444630545;-46.87832068007325;727.1031494140625
-22.95878572686651;-46.86713715698612;762.258056640625
-22.95513450600284;-46.85588334772488;714.6329956054688
-22.95166387964316;-46.84456264035703;732.0
-22.94837489102345;-46.83317844226748;757.5350952148438
-22.94526852871053;-46.82173417916932;762.269775390625
-22.94234572631633;-46.81023329411007;869.6622924804688
-22.93960736222821;-46.79867924647378;860.6519775390625
-22.937054259355225;-46.78707551097916;858.88134765625
-22.934687184890496;-46.775425576674;859.8570556640625
-22.9325068500897;-46.76373294592615;982.20556640625
-22.93051391006578;-46.752001133411234;909.3983154296875
-22.92870896359985;-46.74023366509747;989.4515991210938
-22.927092552968425;-46.72843407722771;920.6444091796875
-22.925665163786963;-46.71660591529905;946.3674926757812
-22.924427224869778;-46.70475273304015;814.1835327148438
-22.92337910810633;-46.69287809138666;843.4575805664062
-22.922521128354024;-46.68098555745484;816.9556274414062
-22.92185354334732;-46.66907870351376;898.0433959960938
-22.92137655362348;-46.65716110595616;868.1080932617188
-22.92109030246472;-46.64523634426849;828.7103271484375
